0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
4.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,8.0,3.0,1.0,6.0,6.0,1.0,6.0,9.0,3.0,5.0,4.0,3.0,6.0,8.0,2.0,2.0,8.0,3.0,12.0,5.0,3.0,7.0,13.0,15.0
5.0,1.0,7.0,5.0,0.0,6.0,7.0,5.0,8.0,7.0,6.0,1.0,3.0,3.0,1.0,7.0,1.0,2.0,8.0,11.0,7.0,12.0,7.0,9.0,10.0,15.0,6.0,6.0,7.0,10.0,3.0,4.0
8.0,3.0,1.0,1.0,2.0,3.0,0.0,5.0,0.0,1.0,3.0,3.0,11.0,5.0,5.0,7.0,7.0,7.0,4.0,5.0,4.0,4.0,2.0,1.0,10.0,14.0,9.0,8.0,10.0,6.0,6.0,3.0
9.0,6.0,4.0,5.0,5.0,5.0,9.0,1.0,1.0,1.0,1.0,5.0,7.0,8.0,8.0,5.0,6.0,10.0,6.0,3.0,3.0,4.0,4.0,5.0,10.0,3.0,3.0,6.0,16.0,8.0,7.0,7.0
0.0,3.0,0.0,5.0,7.0,1.0,5.0,0.0,3.0,5.0,4.0,2.0,2.0,11.0,1.0,9.0,7.0,4.0,4.0,13.0,8.0,2.0,12.0,6.0,9.0,7.0,11.0,6.0,6.0,10.0,9.0,10.0
6.0,3.0,3.0,2.0,1.0,9.0,2.0,5.0,8.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,5.0,7.0,5.0,6.0,3.0,6.0,7.0,4.0,5.0,3.0,3.0,2.0,10.0,11.0,16.0,17.0
10.0,3.0,7.0,1.0,5.0,4.0,7.0,8.0,0.0,3.0,5.0,3.0,8.0,1.0,3.0,3.0,7.0,11.0,4.0,2.0,4.0,3.0,12.0,12.0,2.0,11.0,5.0,9.0,15.0,19.0,3.0,3.0
2.0,3.0,3.0,3.0,4.0,5.0,2.0,0.0,10.0,5.0,0.0,11.0,5.0,2.0,5.0,5.0,2.0,5.0,3.0,2.0,11.0,6.0,2.0,5.0,8.0,9.0,6.0,5.0,10.0,6.0,15.0,7.0
5.0,4.0,10.0,7.0,9.0,1.0,3.0,2.0,2.0,6.0,0.0,0.0,9.0,6.0,6.0,10.0,9.0,22.0,7.0,2.0,9.0,8.0,8.0,5.0,5.0,4.0,6.0,10.0,12.0,7.0,3.0,8.0
0.0,7.0,1.0,10.0,3.0,3.0,2.0,1.0,9.0,0.0,0.0,9.0,3.0,5.0,10.0,6.0,3.0,2.0,7.0,2.0,8.0,3.0,4.0,7.0,4.0,4.0,6.0,2.0,4.0,8.0,8.0,15.0
