,0
0,0.0
1,0.0
2,0.0
3,2.0
4,0.0
5,0.0
6,0.0
7,1.0
8,0.0
9,2.0
10,1.0
11,0.0
12,2.0
13,0.0
14,5.0
15,0.0
16,6.0
17,0.0
18,1.0
19,2.0
20,0.0
21,13.0
22,0.0
23,9.0
24,0.0
25,2.0
26,0.0
27,1.0
28,3.0
29,0.0
30,46.0
31,0.0
32,3.0
33,0.0
34,2.0
35,0.0
36,0.0
37,4.0
38,1.0
39,48.0
40,0.0
41,3.0
42,0.0
43,1.0
44,0.0
45,0.0
46,5.0
47,0.0
48,46.0
49,0.0
50,3.0
51,0.0
52,2.0
53,0.0
54,3.0
55,6.0
56,0.0
57,14.0
58,0.0
59,4.0
60,0.0
61,2.0
62,0.0
63,8.0
64,7.0
65,0.0
66,11.0
67,0.0
68,4.0
69,0.0
70,3.0
71,0.0
72,9.0
73,0.0
74,0.0
75,2.0
76,0.0
77,1.0
78,0.0
79,0.0
80,0.0
81,2.0
82,1.0
83,0.0
84,2.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,1.0
91,2.0
92,0.0
93,6.0
94,0.0
95,5.0
96,0.0
97,2.0
98,0.0
99,4.0
100,3.0
101,0.0
102,23.0
103,0.0
104,4.0
105,0.0
106,5.0
107,0.0
108,0.0
109,4.0
110,0.0
111,25.0
112,0.0
113,3.0
114,0.0
115,0.0
116,0.0
117,1.0
118,5.0
119,0.0
120,20.0
121,0.0
122,4.0
123,0.0
124,3.0
125,0.0
126,1.0
127,6.0
128,0.0
129,7.0
130,0.0
131,4.0
132,0.0
133,3.0
134,0.0
135,2.0
136,7.0
137,0.0
138,4.0
139,0.0
140,10.0
141,0.0
142,1.0
143,0.0
144,4.0
145,0.0
146,0.0
147,2.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,1.0
154,1.0
155,0.0
156,1.0
157,0.0
158,4.0
159,0.0
160,0.0
161,0.0
162,1.0
163,2.0
164,0.0
165,6.0
166,0.0
167,2.0
168,0.0
169,1.0
170,0.0
171,2.0
172,3.0
173,0.0
174,24.0
175,0.0
176,4.0
177,0.0
178,2.0
179,0.0
180,0.0
181,4.0
182,0.0
183,24.0
184,0.0
185,9.0
186,0.0
187,0.0
188,0.0
189,2.0
190,5.0
191,0.0
192,19.0
193,0.0
194,5.0
195,0.0
196,2.0
197,0.0
198,2.0
199,6.0
200,0.0
201,9.0
202,0.0
203,3.0
204,0.0
205,2.0
206,0.0
207,0.0
208,7.0
209,0.0
210,3.0
211,0.0
212,6.0
213,0.0
214,6.0
215,0.0
216,3.0
217,0.0
218,0.0
219,1.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,1.0
226,1.0
227,0.0
228,5.0
229,0.0
230,3.0
231,0.0
232,1.0
233,0.0
234,0.0
235,2.0
236,0.0
237,7.0
238,0.0
239,3.0
240,0.0
241,7.0
242,0.0
243,0.0
244,3.0
245,0.0
246,18.0
247,0.0
248,9.0
249,0.0
250,0.0
251,0.0
252,0.0
253,4.0
254,0.0
255,25.0
256,0.0
257,3.0
258,0.0
259,1.0
260,0.0
261,3.0
262,5.0
263,0.0
264,24.0
265,0.0
266,4.0
267,0.0
268,3.0
269,0.0
270,3.0
271,6.0
272,0.0
273,13.0
274,0.0
275,4.0
276,0.0
277,2.0
278,0.0
279,1.0
280,7.0
281,0.0
282,4.0
283,0.0
284,4.0
285,0.0
286,1.0
287,0.0
288,4.0
289,0.0
290,0.0
291,1.0
292,0.0
293,3.0
294,0.0
295,0.0
296,0.0
297,0.0
298,1.0
299,0.0
300,1.0
301,0.0
302,1.0
303,0.0
304,5.0
305,0.0
306,1.0
307,2.0
308,0.0
309,6.0
310,0.0
311,8.0
312,0.0
313,1.0
314,0.0
315,0.0
316,3.0
317,0.0
318,24.0
319,0.0
320,4.0
321,0.0
322,2.0
323,0.0
324,0.0
325,4.0
326,0.0
327,23.0
328,0.0
329,6.0
330,0.0
331,2.0
332,0.0
333,1.0
334,5.0
335,0.0
336,18.0
337,0.0
338,10.0
339,0.0
340,2.0
341,0.0
342,2.0
343,6.0
344,0.0
345,11.0
346,0.0
347,4.0
348,0.0
349,6.0
350,0.0
351,1.0
352,7.0
353,0.0
354,5.0
355,0.0
356,3.0
357,0.0
358,2.0
359,0.0
360,4.0
361,0.0
362,0.0
363,1.0
364,0.0
365,5.0
366,0.0
367,1.0
368,0.0
369,5.0
370,1.0
371,0.0
372,7.0
373,0.0
374,1.0
375,0.0
376,3.0
377,0.0
378,0.0
379,2.0
380,0.0
381,5.0
382,0.0
383,2.0
384,0.0
385,1.0
386,0.0
387,1.0
388,3.0
389,0.0
390,24.0
391,0.0
392,4.0
393,0.0
394,1.0
395,0.0
396,5.0
397,4.0
398,0.0
399,30.0
400,0.0
401,5.0
402,0.0
403,3.0
404,0.0
405,0.0
406,5.0
407,0.0
408,19.0
409,0.0
410,5.0
411,0.0
412,2.0
413,0.0
414,2.0
415,6.0
416,0.0
417,8.0
418,0.0
419,3.0
420,0.0
421,2.0
422,0.0
423,7.0
424,7.0
425,0.0
426,10.0
427,0.0
428,5.0
429,0.0
430,3.0
431,0.0
432,4.0
433,0.0
434,0.0
435,2.0
436,0.0
437,1.0
438,0.0
439,0.0
440,0.0
441,0.0
442,1.0
443,0.0
444,2.0
445,0.0
446,5.0
447,0.0
448,0.0
449,0.0
450,1.0
451,2.0
452,0.0
453,8.0
454,0.0
455,2.0
456,0.0
457,2.0
458,0.0
459,4.0
460,3.0
461,0.0
462,22.0
463,0.0
464,4.0
465,0.0
466,5.0
467,0.0
468,0.0
469,4.0
470,0.0
471,23.0
472,0.0
473,9.0
474,0.0
475,0.0
476,0.0
477,1.0
478,5.0
479,0.0
480,18.0
481,0.0
482,4.0
483,0.0
484,3.0
485,0.0
486,6.0
487,6.0
488,0.0
489,11.0
490,0.0
491,5.0
492,0.0
493,1.0
494,0.0
495,1.0
496,7.0
497,0.0
498,5.0
499,0.0
500,3.0
501,0.0
502,4.0
503,0.0
504,10.0
505,0.0
506,0.0
507,3.0
508,0.0
509,0.0
510,0.0
511,3.0
512,0.0
513,0.0
514,1.0
515,0.0
516,2.0
517,0.0
518,6.0
519,0.0
520,4.0
521,0.0
522,0.0
523,2.0
524,0.0
525,6.0
526,0.0
527,5.0
528,0.0
529,2.0
530,0.0
531,2.0
532,3.0
533,0.0
534,16.0
535,0.0
536,5.0
537,0.0
538,5.0
539,0.0
540,0.0
541,4.0
542,0.0
543,23.0
544,0.0
545,6.0
546,0.0
547,0.0
548,0.0
549,1.0
550,5.0
551,0.0
552,18.0
553,0.0
554,9.0
555,0.0
556,1.0
557,0.0
558,1.0
559,6.0
560,0.0
561,8.0
562,0.0
563,4.0
564,0.0
565,2.0
566,0.0
567,8.0
568,7.0
569,0.0
570,11.0
571,0.0
