0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
3.0,5.0,9.0,6.0,6.0,3.0,6.0,6.0,5.0,12.0,4.0,3.0,12.0,7.0,10.0,7.0,7.0,7.0,7.0,5.0,6.0,10.0,10.0,4.0,8.0,8.0,11.0,10.0,13.0,22.0,20.0,13.0
8.0,3.0,1.0,3.0,6.0,6.0,3.0,11.0,6.0,5.0,3.0,6.0,6.0,10.0,7.0,7.0,6.0,7.0,8.0,6.0,8.0,7.0,13.0,9.0,7.0,14.0,11.0,7.0,10.0,24.0,18.0,17.0
3.0,3.0,7.0,7.0,4.0,2.0,7.0,5.0,6.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,6.0,7.0,7.0,12.0,8.0,9.0,8.0,6.0,7.0,10.0,11.0,10.0,10.0,30.0,17.0,12.0
3.0,2.0,5.0,4.0,10.0,4.0,2.0,10.0,7.0,9.0,3.0,7.0,6.0,6.0,7.0,5.0,8.0,4.0,7.0,12.0,9.0,7.0,12.0,6.0,13.0,12.0,11.0,6.0,16.0,19.0,19.0,14.0
4.0,2.0,3.0,2.0,3.0,5.0,2.0,8.0,6.0,6.0,8.0,5.0,6.0,4.0,5.0,8.0,7.0,7.0,12.0,6.0,9.0,8.0,7.0,5.0,7.0,11.0,9.0,11.0,19.0,17.0,22.0,13.0
7.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,6.0,12.0,6.0,7.0,6.0,7.0,12.0,13.0,7.0,5.0,7.0,7.0,7.0,15.0,11.0,16.0,22.0,20.0,16.0,14.0
8.0,1.0,4.0,3.0,3.0,6.0,4.0,11.0,4.0,5.0,4.0,5.0,10.0,11.0,7.0,12.0,10.0,6.0,7.0,6.0,8.0,7.0,5.0,11.0,15.0,11.0,11.0,8.0,16.0,22.0,18.0,13.0
6.0,4.0,6.0,9.0,4.0,3.0,1.0,5.0,5.0,8.0,5.0,4.0,12.0,6.0,5.0,7.0,7.0,3.0,8.0,8.0,8.0,5.0,7.0,10.0,10.0,12.0,11.0,8.0,12.0,22.0,22.0,21.0
4.0,2.0,2.0,5.0,4.0,6.0,9.0,4.0,11.0,7.0,4.0,8.0,5.0,5.0,4.0,4.0,5.0,7.0,7.0,8.0,14.0,9.0,7.0,5.0,10.0,10.0,15.0,10.0,11.0,27.0,21.0,14.0
3.0,4.0,2.0,3.0,3.0,6.0,2.0,5.0,3.0,6.0,3.0,8.0,12.0,3.0,7.0,7.0,7.0,5.0,7.0,6.0,7.0,11.0,8.0,5.0,5.0,4.0,9.0,10.0,19.0,27.0,19.0,12.0
